Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2020-12-31,106999,109251,103986,108938
2021-01-04,123523,125290,105391,116747
2021-01-05,116734,127251,111222,126485
2021-01-06,126567,133925,123290,132482
2021-01-07,132417,148382,132357,145984
2021-01-08,146122,154755,135246,144009
2021-01-11,141983,142966,112754,128357
2021-01-12,128356,135972,121056,124797
2021-01-13,124653,141188,120143,139021
2021-01-14,138802,150166,137544,145520
2021-01-15,145271,148320,129325,133715
2021-01-18,136091,140912,130892,137045
2021-01-19,136929,141288,135038,137183
2021-01-20,137151,137259,125647,131181
2021-01-21,131078,133533,112220,114833
2021-01-22,114920,126320,107407,125233
2021-01-25,120044,130273,119444,121456
2021-01-26,121458,122653,115469,122018
2021-01-27,122304,123044,110357,114999
2021-01-28,114936,125689,112610,125684
2021-01-29,125652,143794,120140,128735
2021-02-01,123001,129609,120602,125488
2021-02-02,125483,134228,125093,132650
2021-02-03,132565,139886,131869,139055
2021-02-04,139077,145068,136153,140298
2021-02-05,140287,143652,137792,140639
2021-02-08,144597,167140,141910,166121
2021-02-09,165963,178616,165961,172906
2021-02-10,173107,175021,161973,167541
2021-02-11,167629,180540,163467,176911
2021-02-12,177033,181541,172128,176979
2021-02-15,182238,182246,170485,178395
2021-02-16,178425,186518,173916,182511
2021-02-17,182456,196245,182225,194389
2021-02-18,194463,195926,189375,192509
2021-02-19,192592,206138,188696,204780
2021-02-22,212156,213168,179226,200108
2021-02-23,200027,200793,167059,180675
2021-02-24,180711,190710,174463,180738
2021-02-25,181087,192091,176276,178612
2021-02-26,178511,181166,164772,173221
