Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2019-12-04,4.2833,4.28417,4.27716,4.28046
2019-12-05,4.28024,4.28148,4.27389,4.27676
2019-12-06,4.27671,4.28475,4.2665,4.27623
2019-12-09,4.27764,4.28923,4.27396,4.28743
2019-12-10,4.28743,4.29115,4.28629,4.2901
2019-12-11,4.29022,4.29184,4.28136,4.28287
2019-12-12,4.28296,4.28852,4.27534,4.28666
2019-12-13,4.28512,4.29045,4.26675,4.26886
2019-12-16,4.27059,4.28343,4.2557,4.25869
2019-12-17,4.25794,4.26566,4.25531,4.25996
2019-12-18,4.26003,4.27532,4.25665,4.26656
2019-12-19,4.26607,4.27335,4.25303,4.26254
2019-12-20,4.26253,4.2638,4.25471,4.25562
2019-12-23,4.25638,4.27526,4.25355,4.27296
2019-12-24,4.27287,4.27492,4.2527,4.26064
2019-12-26,4.25682,4.26351,4.25594,4.25877
2019-12-27,4.25877,4.27155,4.25465,4.26113
2019-12-30,4.26143,4.26943,4.25365,4.2543
2019-12-31,4.25455,4.2641,4.25092,4.25405
2020-01-02,4.2567,4.25805,4.23877,4.23943
2020-01-03,4.23964,4.25851,4.23757,4.24404
2020-01-06,4.24375,4.25129,4.23097,4.23154
2020-01-07,4.23159,4.25007,4.23098,4.24477
2020-01-08,4.24541,4.24941,4.23132,4.23317
2020-01-09,4.23328,4.24749,4.2324,4.2452
2020-01-10,4.24519,4.24869,4.23174,4.23432
2020-01-13,4.2365,4.24138,4.23244,4.23294
2020-01-14,4.2328,4.23666,4.21071,4.22206
2020-01-15,4.22189,4.23348,4.22109,4.23031
2020-01-16,4.23032,4.23842,4.22825,4.23133
2020-01-17,4.23137,4.24442,4.23045,4.241
2020-01-20,4.24001,4.24621,4.23758,4.2429
2020-01-21,4.24363,4.24861,4.22721,4.23115
2020-01-22,4.23119,4.24141,4.22818,4.23806
2020-01-23,4.23817,4.24882,4.23742,4.24603
2020-01-24,4.246,4.26111,4.23772,4.25823
2020-01-27,4.25573,4.27927,4.25384,4.27774
2020-01-28,4.27769,4.28283,4.26611,4.27104
2020-01-29,4.27101,4.28687,4.27002,4.28551
2020-01-30,4.28537,4.29628,4.27849,4.293
2020-01-31,4.2931,4.30723,4.29069,4.29678
2020-02-03,4.29697,4.30499,4.28927,4.29684
2020-02-04,4.29702,4.30181,4.27066,4.27416
2020-02-05,4.27404,4.27837,4.23629,4.2457
2020-02-06,4.24579,4.26019,4.24241,4.25883
2020-02-07,4.25873,4.27519,4.25769,4.27484
2020-02-10,4.27211,4.27395,4.26176,4.26445
2020-02-11,4.26445,4.26762,4.24936,4.25568
2020-02-12,4.25557,4.26134,4.24909,4.25133
2020-02-13,4.25139,4.26133,4.24515,4.24705
2020-02-14,4.24662,4.2533,4.23707,4.25036
2020-02-17,4.24985,4.26426,4.24503,4.25957
2020-02-18,4.26005,4.27764,4.25927,4.26756
2020-02-19,4.26741,4.27507,4.26482,4.26964
2020-02-20,4.26994,4.28533,4.26703,4.27991
2020-02-21,4.27975,4.29414,4.2765,4.29107
2020-02-24,4.29493,4.30699,4.29213,4.30624
2020-02-25,4.30634,4.30776,4.2886,4.30423
2020-02-26,4.30418,4.31662,4.30306,4.31602
2020-02-27,4.3161,4.32486,4.30437,4.32382
2020-02-28,4.32376,4.3373,4.32307,4.32913
2020-03-02,4.33054,4.33469,4.30842,4.31751
2020-03-03,4.31772,4.32477,4.29381,4.30592
2020-03-04,4.30597,4.30982,4.2869,4.29582
2020-03-05,4.29619,4.30865,4.28786,4.3069
2020-03-06,4.30691,4.31955,4.28916,4.30123
2020-03-09,4.31146,4.33512,4.30796,4.32494
2020-03-10,4.3247,4.33188,4.30311,4.30815
2020-03-11,4.30803,4.33121,4.30511,4.3268
2020-03-12,4.32645,4.38947,4.32599,4.37935
2020-03-13,4.37983,4.38886,4.35186,4.37771
2020-03-16,4.37381,4.45329,4.37308,4.44311
2020-03-17,4.44334,4.49724,4.43173,4.47156
2020-03-18,4.47149,4.54987,4.46021,4.49949
2020-03-19,4.5001,4.61829,4.48922,4.54374
2020-03-20,4.54324,4.58263,4.5083,4.52726
2020-03-23,4.52104,4.63472,4.50147,4.61374
2020-03-24,4.61507,4.63461,4.57678,4.60552
2020-03-25,4.60544,4.60723,4.54358,4.5669
2020-03-26,4.56678,4.59793,4.51101,4.52452
2020-03-27,4.52421,4.54595,4.51221,4.5371
2020-03-30,4.53676,4.56618,4.52967,4.54426
2020-03-31,4.54426,4.57611,4.53132,4.55781
2020-04-01,4.55907,4.60305,4.55721,4.60162
2020-04-02,4.60169,4.60471,4.55893,4.57299
2020-04-03,4.57299,4.58815,4.55814,4.58562
2020-04-06,4.58749,4.59463,4.54308,4.56213
2020-04-07,4.56098,4.56534,4.51459,4.52819
2020-04-08,4.52772,4.54631,4.52338,4.52659
2020-04-09,4.5266,4.56195,4.51781,4.54854
2020-04-13,4.55273,4.57515,4.54668,4.5594
2020-04-14,4.55931,4.5599,4.51454,4.52018
2020-04-15,4.52035,4.54647,4.51768,4.53786
2020-04-16,4.53765,4.55315,4.52634,4.5336
2020-04-17,4.5336,4.54242,4.51372,4.51999
2020-04-20,4.51872,4.5311,4.51264,4.52279
2020-04-21,4.52325,4.5382,4.52133,4.53234
2020-04-22,4.53238,4.55865,4.52427,4.54808
2020-04-23,4.54821,4.55714,4.53198,4.54233
2020-04-24,4.54172,4.54438,4.52007,4.5372
2020-04-27,4.53661,4.54044,4.51411,4.53489
2020-04-28,4.53485,4.55298,4.5341,4.5478
2020-04-29,4.54785,4.55198,4.5355,4.5452
